header,class,mechanism,group,database
gi|591542788|gb|KJ207200.1|betalactams|Class_C_betalactamases|MIR,betalactams,Class C betalactamases,MIR,megares
Tmt|DfrC|Z48233|337-822|486|Trimethoprim|Dihydrofolate_reductase|DFRC|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DFRC,megares
CARD|phgb|U00096|3413863-3415021|ARO:3000499|acrE|Aminoglycosides|Aminoglycoside_efflux_pumps|ACRE,Aminoglycosides,Aminoglycoside efflux pumps,ACRE,megares
AGly|AY339625.2|gene5|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,megares
6|AF173226.1|AF173226|Multi-drug_resistance|Multi-drug_efflux_pumps|sme,Multi-drug resistance,Multi-drug efflux pumps,sme,megares
gi|360040237|gb|JN861782.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
AGly|aac6-prime-Ib-cr_3_EF210035|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
gi|537430802|gb|KF057031.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|SHV-11|HM751098|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|OXA-136_1_EU086833|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Tet|TetO|M18896|207-2126|1920|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO,megares
984|AB116646.1|AB116646|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
gi|478437782|gb|KC465199.1|betalactams|Class_A_betalactamases|KPC,betalactams,Class A betalactamases,KPC,megares
MLS|ereA_3_AF326209|MLS|Macrolide_esterases|EREA,MLS,Macrolide esterases,EREA,megares
Mdr|AP009048.1|gene3414|Multi-drug_resistance|MDR_regulator|CPXAR,Multi-drug resistance,MDR regulator,CPXAR,megares
Flq|QepA2|EU847537|1672-3107|1536|Fluoroquinolones|Quinolone_active_efflux|QEPA,Fluoroquinolones,Quinolone active efflux,QEPA,megares
Bla|KJ188748.1|gene1|betalactams|Class_A_betalactamases|SME,betalactams,Class A betalactamases,SME,megares
Phe|AF024666.2|gene33|Phenicol|Phenicol_efflux_pumps|CMXAB,Phenicol,Phenicol efflux pumps,CMXAB,megares
ACou|AE016830.1|gene1599|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,megares
Bla|CTX-M-21|AJ416346|557-1432|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
CARD|phgb|EU269034|1479-2223|ARO:3002667|rmtD|Aminoglycosides|16S_rRNA_methyltransferases|RMTD,Aminoglycosides,16S rRNA methyltransferases,RMTD,megares
AGly|AadA1|M95287|3320-4111|792|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,megares
MLS|ermX_4_NC_005206|MLS|23S_rRNA_methyltransferases|ERMX,MLS,23S rRNA methyltransferases,ERMX,megares
Bla|AF231133.1|gene3|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
859|U41471.1|MFU41471|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME,megares
Sul|NC_007793.3915320|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP,megares
CARD|pvgb|NC_002952|594518-598142|ARO:3003291|Staphylococcus|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOC|RequiresSNPConfirmation,Lipopeptides,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,RPOC,megares
1531|unknown_id|unknown_name|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETA,megares
Gly|VanW-G_1_AY271782|Glycopeptides|VanG-type_accessory_protein|VANWG,Glycopeptides,VanG-type accessory protein,VANWG,megares
Bla|PAO2_FJ666065|betalactams|Class_C_betalactamases|PDC,betalactams,Class C betalactamases,PDC,megares
CARD|phgb|AL009126|1376854-1377172|ARO:3003064|ykkD|Multi-drug_resistance|Multi-drug_efflux_pumps|YKKD,Multi-drug resistance,Multi-drug efflux pumps,YKKD,megares
gi|47109375|emb|AJ704396.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Flq|OqxA|EU370913|46652-47827|1176|Multi-drug_resistance|Multi-drug_efflux_pumps|OQXA,Multi-drug resistance,Multi-drug efflux pumps,OQXA,megares
CARD|phgb|EF540343|1059-1440|ARO:3000160|blaI|betalactams|Penicillin_binding_protein_regulator|BLAI,betalactams,Penicillin binding protein regulator,BLAI,megares
Bla|OXA-333_1_KF203107|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|734665100|gb|KM589641.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
CARD|phgb|AJ012256|208-1069|ARO:3000943|TEM-77|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Amp|HM140977.1|gene1|Lipopeptides|Phosphotidylglycerol_lysyltransferase|MPRF|RequiresSNPConfirmation,Lipopeptides,Phosphotidylglycerol lysyltransferase,MPRF,megares
Bla|CTX-M-9|AF174129|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Bla|KJ020573.1|gene1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
CARD|phgb|AM411407|0-876|ARO:3001921|CTX-M-60|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Bla|TEM-107|AY101764|207-1067|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|CMY-63|HQ650104|64-1209|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Bla|KC964871.1|gene1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
MLS|NC_023287.1.18156494|MLS|Macrolide_resistance_efflux_pumps|MEFA,MLS,Macrolide resistance efflux pumps,MEFA,megares
Bla|CTX-M-46|AY847147|82-957|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Bla|CMY-79|JQ733576|1028-2173|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Sul|CP000675.2|gene3019|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP,megares
ACou|NC_006582.1.320275|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,megares
Bla|SHV-11_13_DQ219476|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Flq|NC_009641.5331984|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,megares
Bla|CMY-41|AB429270|15-1160|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Bla|OXA-208|FR853176|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|OXA-51_3_EU255296|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
CARD|phgb|AF132290|87-948|ARO:3001076|SHV-18|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Met|nimB_1_X71443|Metronidazole|nim_nitroimidazole_reductase|NIMB,Metronidazole,nim nitroimidazole reductase,NIMB,megares
946|DQ464881.1|DQ464881|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII,megares
CARD|phgb|AM982520|5548-6424|ARO:3001937|CTX-M-76|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Flq|NC_012491.1.7720231|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,megares
CARD|phgb|AJ012256|208-1069|ARO:3000939|TEM-73|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|TEM-128|AY359287|186-1046|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
gi|54873595|gb|AY277255.2|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|KF460531.1|gene1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|GES-21|JQ772478|141-1004|864|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES,megares
gi|6176541|gb|AF190692.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|OXA-56_1_EF437948|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|CTX-M-130|JX017365|245-1120|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Tet|tetW_6_FN396364|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW,megares
Phe|FJ460181.2|gene2|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,Phenicol,Chloramphenicol acetyltransferases,CATB,megares
Bla|LEN-2|AY037780|286-1125|861|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN,megares
Bla|SHV-11_9_FJ483937|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|CMY-60_1_HQ267531|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
gi|597709739|emb|HG934764.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
gi|304359285|gb|HM559945.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Phe|X60827.1|gene2|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA,megares
AGly|Aac6-Iaf|AB462903|1200-1751|552|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
Bla|CTX-M-12|AY293073|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Rif|CP003248.2|gene696|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB,megares
AGly|AM087405.1|gene3|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,megares
Bla|TEM-144|DQ256080|215-1075|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|NC_009487.5167689|betalactams|Penicillin_binding_protein|MECA,betalactams,Penicillin binding protein,MECA,megares
Tet|ortB_1_AF079900|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|OTRB,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,OTRB,megares
Bla|SHV2A-kp|X62115|1281-2141|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
CARD|phgb|NC_007779|1115840-1117067|ARO:3001329|mdtG|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTG,Multi-drug resistance,Multi-drug efflux pumps,MDTG,megares
CARD|phgb|U00096|3203309-3204131|ARO:3002986|bacA|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA,Bacitracin,Undecaprenyl pyrophosphate phosphatase,BACA,megares
Bla|OXA-254_1_AB781687|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
CARD|phgb|X95635|259-1663|ARO:3000812|mtrE|Multi-drug_resistance|Multi-drug_efflux_pumps|MTRE,Multi-drug resistance,Multi-drug efflux pumps,MTRE,megares
gi|784887|gb|L07945.1|PSEBLAOXA3|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
CARD|phgb|EU342351|172-1033|ARO:3001118|SHV-63|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
CARD|pvgb|AL123456|4407527-4408202|ARO:3003470|Mycobacterium|Aminoglycosides|Aminoglycoside-resistant_gidB|GIDB|RequiresSNPConfirmation,Aminoglycosides,Aminoglycoside-resistant gidB,GIDB,megares
Bla|ampS_1_X80276|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|OXA-83|DQ309277|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|cfxA|U38243|150-1115|966|betalactams|Class_A_betalactamases|CFX,betalactams,Class A betalactamases,CFX,megares
gi|757399505|gb|KP050485.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Mdr|NC_002758.1121390|Multi-drug_resistance|MDR_regulator|ARLR,Multi-drug resistance,MDR regulator,ARLR,megares
Bla|SHV-6|Y11069|1-780|780|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
AGly|Aph3-dprime-Ia|FJ172370|38668-39483|816|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME,megares
MLS|ermB_15U48430|MLS|23S_rRNA_methyltransferases|ERMB,MLS,23S rRNA methyltransferases,ERMB,megares
gi|591389141|gb|KF986253.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
AGly|RmtD|DQ914960|9632-8889|744|Aminoglycosides|16S_rRNA_methyltransferases|RMTD,Aminoglycosides,16S rRNA methyltransferases,RMTD,megares
Bla|OXY2-1|AJ871866|1-873|873|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY,megares
Rif|NC_003098.1.933647|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB,megares
Bla|SHV-82|AM176557|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
545|L25617.1|PSEAACDINT|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
Bla|CTX-M-80|EU202673|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
1293|HM750249.1|HM750249|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM,megares
Tet|Tet-32|DQ647324|181-2100|1920|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET32,megares
Tet|tetC_1_NC_002109|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETC,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETC,megares
1218|FJ820124.1|FJ820124|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES,megares
Bla|AF118110.1|gene1|betalactams|Class_A_betalactamases|CFX,betalactams,Class A betalactamases,CFX,megares
Bla|OXA-51_8_EU255291|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|B-5|AF189303|1-750|750|betalactams|Class_B_betalactamases|BLAB,betalactams,Class B betalactamases,BLAB,megares
ACou|NC_003112.2.903425|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,megares
44|AY768532.1|AY768532|MLS|Macrolide_resistance_efflux_pumps|MACB,MLS,Macrolide resistance efflux pumps,MACB,megares
Tet|tetG_2_AF133139|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETG,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETG,megares
616|HQ875016.1|HQ875016|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,megares
Sul|CP004022.1|gene3451|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP,megares
Bla|TEM-28|ECU37195|76-936|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
gi|257359514|gb|GQ428198.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|PBP|Ecoli|CP002291|664439-666340|1902|betalactams|Penicillin_binding_protein|PBP2,betalactams,Penicillin binding protein,PBP2,megares
gi|442540408|gb|JX514368.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Bla|MOX-7|GQ152602|1-1152|1152|betalactams|Class_C_betalactamases|MOX,betalactams,Class C betalactamases,MOX,megares
CARD|phgb|NC_003112|1791966-1795170|ARO:3000811|mtrD|Multi-drug_resistance|Multi-drug_efflux_pumps|MTRD,Multi-drug resistance,Multi-drug efflux pumps,MTRD,megares
Bla|AJ511268.1|gene2|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM,megares
gi|94960148|gb|DQ519087.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|GES-18|JQ028729|1-864|864|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES,megares
Flq|QnrB30|HM439650|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB,megares
Bla|TEM-120|AY243512|209-1069|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Rif|NC_007793.3914836|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB,megares
Bla|Y18050.2|gene3|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM,megares
Bla|TEM-143|DQ075245|218-1078|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|CTX-M-11_1_AJ310929|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Bla|cfiA14|FM200789|162-911|750|betalactams|Class_B_betalactamases|CFIA,betalactams,Class B betalactamases,CFIA,megares
Bla|ACC-3|AF180957|1-1131|1131|betalactams|Class_C_betalactamases|ACC,betalactams,Class C betalactamases,ACC,megares
Bla|OCH-7|AJ295345|1-1173|1173|betalactams|Class_C_betalactamases|OCH,betalactams,Class C betalactamases,OCH,megares
Bla|LEN-9_1_AJ635405|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN,megares
Bla|SHV-69|DQ174308|5-865|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|SHV-57|AY223863|171-1031|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
MLS|ereA_4_AF512546|MLS|Macrolide_esterases|EREA,MLS,Macrolide esterases,EREA,megares
Sul|SulI|AF071413|6700-7539|840|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI,megares
Bla|CTX-M-38|AY753197|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Tmt|dfrC_1_GU565967|Trimethoprim|Dihydrofolate_reductase|DFRC|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DFRC,megares
Bla|EU086834.1|gene1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
CARD|phgb|AF237667|0-1446|ARO:3002813|lmrB|MLS|Lincosamide_efflux_pump|LMRB,MLS,Lincosamide efflux pump,LMRB,megares
gi|2765064|emb|Y10278.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
gi|157812671|gb|EU177100.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Bla|OXA-82|GQ352402|8775-9599|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
CARD|phgb|D38215|0-1539|ARO:3002893|tcr3|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TCR3,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TCR3,megares
gi|160948448|emb|AM176552.2|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
CARD|phgb|JQ340365|0-1434|ARO:3003583|PmrB|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|PMRB,Cationic antimicrobial peptides,Polymyxin B resistance regulator,PMRB,megares
Bla|TEM-59|AF062386|31-862|832|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|CMY-21|DQ139328|1-1146|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Bla|TEM-24|GQ293500|4033-4893|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Mdr|NC_002695.1.910541|Multi-drug_resistance|MDR_regulator|CPXAR,Multi-drug resistance,MDR regulator,CPXAR,megares
gi|84380854|gb|DQ328802.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Sul|AY758206.1|gene7|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI,megares
Bla|SHV-1_16_FJ668800|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
CARD|phgb|AE017334|1495400-1496297|ARO:3003072|Bacillus|MLS|Macrolide_phosphotransferases|MPH,MLS,Macrolide phosphotransferases,MPH,megares
Elf|NC_007622.3795131|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB,megares
Bla|OKP-B-6|AY850171|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP,megares
Bla|OKP-B-4|AM051153|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP,megares
475|unknown_id|unknown_name|betalactams|Class_A_betalactamases|PENA,betalactams,Class A betalactamases,PENA,megares
AGly|AadA7|AF224733|32-829|798|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,megares
Bla|SHV-12_3_FJ668805|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
248|unknown_id|unknown_name|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,Tetracyclines,Tetracycline transcriptional repressor,TETR,megares
